,indicator_section_code,indicator_section,indicator_code,indicator_name,region_id,region_name,mun_level,mun_district,municipality,oktmo,mun_type,mun_type_oktmo,oktmo_stable,oktmo_history,oktmo_year_from,oktmo_year_to,year,indicator_value,indicator_unit,indicator_period,comment
1,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Залесовский муниципальный округ,Залесовский муниципальный округ,1512000,Муниципальный округ,Муниципальный округ,01512000,Изменен тип и название,2022,2025,2023,37393.7,Рубль,Январь-декабрь,CD
2,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Муниципальный округ город Славгород,Муниципальный округ город Славгород,1539000,Муниципальный округ,Муниципальный округ,01539000,"Изменен тип и название, Объединение",2023,2025,2023,38373.0,Рубль,Январь-декабрь,CD
3,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Муниципальный округ Суетский район,Муниципальный округ Суетский район,1541000,Муниципальный округ,Муниципальный округ,01541000,Изменен тип и название,2023,2025,2023,33369.4,Рубль,Январь-декабрь,CD
4,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Муниципальный округ Чарышский район,Муниципальный округ Чарышский район,1558000,Муниципальный округ,Муниципальный округ,01558000,Изменен тип и название,2023,2025,2023,30329.1,Рубль,Январь-декабрь,CD
18,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Алейский муниципальный район,Алейский муниципальный район,1601000,Муниципальный район,Муниципальный район,01601000,Без изменений,2010,2025,2023,33042.7,Рубль,Январь-декабрь,CD
32,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Алтайский муниципальный район,Алтайский муниципальный район,1602000,Муниципальный район,Муниципальный район,01602000,Без изменений,2010,2025,2023,37552.5,Рубль,Январь-декабрь,CD
46,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Баевский муниципальный район,Баевский муниципальный район,1603000,Муниципальный район,Муниципальный район,01603000,Без изменений,2010,2025,2023,37796.9,Рубль,Январь-декабрь,CD
60,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Бийский муниципальный район,Бийский муниципальный район,1604000,Муниципальный район,Муниципальный район,01604000,Без изменений,2010,2025,2023,39061.4,Рубль,Январь-декабрь,CD
74,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Благовещенский муниципальный район,Благовещенский муниципальный район,1605000,Муниципальный район,Муниципальный район,01605000,Без изменений,2010,2025,2023,35974.3,Рубль,Январь-декабрь,CD
88,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Бурлинский муниципальный район,Бурлинский муниципальный район,1606000,Муниципальный район,Муниципальный район,01606000,Без изменений,2010,2025,2023,32700.4,Рубль,Январь-декабрь,CD
102,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Быстроистокский муниципальный район,Быстроистокский муниципальный район,1607000,Муниципальный район,Муниципальный район,01607000,Без изменений,2010,2025,2023,34541.0,Рубль,Январь-декабрь,CD
116,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Волчихинский муниципальный район,Волчихинский муниципальный район,1608000,Муниципальный район,Муниципальный район,01608000,Без изменений,2010,2025,2023,31330.5,Рубль,Январь-декабрь,CD
130,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Егорьевский муниципальный район,Егорьевский муниципальный район,1609000,Муниципальный район,Муниципальный район,01609000,Без изменений,2010,2025,2023,36181.0,Рубль,Январь-декабрь,CD
144,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Ельцовский муниципальный район,Ельцовский муниципальный район,1610000,Муниципальный район,Муниципальный район,01610000,Без изменений,2010,2025,2023,31296.1,Рубль,Январь-декабрь,CD
158,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Завьяловский муниципальный район,Завьяловский муниципальный район,1611000,Муниципальный район,Муниципальный район,01611000,Без изменений,2010,2025,2023,35944.6,Рубль,Январь-декабрь,CD
184,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Заринский муниципальный район,Заринский муниципальный район,1613000,Муниципальный район,Муниципальный район,01613000,Без изменений,2010,2025,2023,27965.7,Рубль,Январь-декабрь,CD
198,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Змеиногорский муниципальный район,Змеиногорский муниципальный район,1614000,Муниципальный район,Муниципальный район,01614000,Без изменений,2010,2025,2023,32155.1,Рубль,Январь-декабрь,CD
212,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Калманский муниципальный район,Калманский муниципальный район,1615000,Муниципальный район,Муниципальный район,01615000,Без изменений,2010,2025,2023,35534.3,Рубль,Январь-декабрь,CD
226,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Каменский муниципальный район,Каменский муниципальный район,1616000,Муниципальный район,Муниципальный район,01616000,Объединение,2010,2025,2023,32902.6,Рубль,Январь-декабрь,CD
240,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Ключевский муниципальный район,Ключевский муниципальный район,1617000,Муниципальный район,Муниципальный район,01617000,Без изменений,2010,2025,2023,32785.6,Рубль,Январь-декабрь,CD
254,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Косихинский муниципальный район,Косихинский муниципальный район,1618000,Муниципальный район,Муниципальный район,01618000,Без изменений,2010,2025,2023,33922.4,Рубль,Январь-декабрь,CD
268,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Красногорский муниципальный район,Красногорский муниципальный район,1619000,Муниципальный район,Муниципальный район,01619000,Без изменений,2010,2025,2023,33013.1,Рубль,Январь-декабрь,CD
282,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Краснощёковский муниципальный район,Краснощёковский муниципальный район,1620000,Муниципальный район,Муниципальный район,01620000,Без изменений,2010,2025,2023,33820.5,Рубль,Январь-декабрь,CD
296,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Крутихинский муниципальный район,Крутихинский муниципальный район,1621000,Муниципальный район,Муниципальный район,01621000,Без изменений,2010,2025,2023,35797.1,Рубль,Январь-декабрь,CD
310,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Кулундинский муниципальный район,Кулундинский муниципальный район,1622000,Муниципальный район,Муниципальный район,01622000,Без изменений,2010,2025,2023,36233.2,Рубль,Январь-декабрь,CD
324,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Курьинский муниципальный район,Курьинский муниципальный район,1623000,Муниципальный район,Муниципальный район,01623000,Без изменений,2010,2025,2023,30330.9,Рубль,Январь-декабрь,CD
338,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Кытмановский муниципальный район,Кытмановский муниципальный район,1624000,Муниципальный район,Муниципальный район,01624000,Без изменений,2010,2025,2023,32870.3,Рубль,Январь-декабрь,CD
352,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Локтевский муниципальный район,Локтевский муниципальный район,1625000,Муниципальный район,Муниципальный район,01625000,Без изменений,2010,2025,2023,31076.7,Рубль,Январь-декабрь,CD
366,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Мамонтовский муниципальный район,Мамонтовский муниципальный район,1626000,Муниципальный район,Муниципальный район,01626000,Без изменений,2010,2025,2023,34577.3,Рубль,Январь-декабрь,CD
380,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Михайловский муниципальный район,Михайловский муниципальный район,1627000,Муниципальный район,Муниципальный район,01627000,Без изменений,2010,2025,2023,36421.7,Рубль,Январь-декабрь,CD
394,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Новичихинский муниципальный район,Новичихинский муниципальный район,1628000,Муниципальный район,Муниципальный район,01628000,Без изменений,2010,2025,2023,34637.9,Рубль,Январь-декабрь,CD
408,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Зональный муниципальный район,Зональный муниципальный район,1629000,Муниципальный район,Муниципальный район,01629000,Без изменений,2010,2025,2023,35377.7,Рубль,Январь-декабрь,CD
422,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Павловский муниципальный район,Павловский муниципальный район,1630000,Муниципальный район,Муниципальный район,01630000,Без изменений,2010,2025,2023,35480.0,Рубль,Январь-декабрь,CD
436,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Панкрушихинский муниципальный район,Панкрушихинский муниципальный район,1631000,Муниципальный район,Муниципальный район,01631000,Без изменений,2010,2025,2023,32853.8,Рубль,Январь-декабрь,CD
450,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Первомайский муниципальный район,Первомайский муниципальный район,1632000,Муниципальный район,Муниципальный район,01632000,Без изменений,2010,2025,2023,42652.6,Рубль,Январь-декабрь,CD
464,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Петропавловский муниципальный район,Петропавловский муниципальный район,1633000,Муниципальный район,Муниципальный район,01633000,Без изменений,2010,2025,2023,39457.1,Рубль,Январь-декабрь,CD
478,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Поспелихинский муниципальный район,Поспелихинский муниципальный район,1634000,Муниципальный район,Муниципальный район,01634000,Без изменений,2010,2025,2023,38843.9,Рубль,Январь-декабрь,CD
492,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Ребрихинский муниципальный район,Ребрихинский муниципальный район,1635000,Муниципальный район,Муниципальный район,01635000,Без изменений,2010,2025,2023,31131.8,Рубль,Январь-декабрь,CD
506,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Родинский муниципальный район,Родинский муниципальный район,1636000,Муниципальный район,Муниципальный район,01636000,Без изменений,2010,2025,2023,27858.1,Рубль,Январь-декабрь,CD
520,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Романовский муниципальный район,Романовский муниципальный район,1637000,Муниципальный район,Муниципальный район,01637000,Без изменений,2010,2025,2023,32669.3,Рубль,Январь-декабрь,CD
534,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Рубцовский муниципальный район,Рубцовский муниципальный район,1638000,Муниципальный район,Муниципальный район,01638000,Без изменений,2010,2025,2023,34976.3,Рубль,Январь-декабрь,CD
550,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Смоленский муниципальный район,Смоленский муниципальный район,1640000,Муниципальный район,Муниципальный район,01640000,Без изменений,2010,2025,2023,32387.5,Рубль,Январь-декабрь,CD
577,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Советский муниципальный район,Советский муниципальный район,1642000,Муниципальный район,Муниципальный район,01642000,Без изменений,2010,2025,2023,31644.2,Рубль,Январь-декабрь,CD
591,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Солонешенский муниципальный район,Солонешенский муниципальный район,1643000,Муниципальный район,Муниципальный район,01643000,Без изменений,2010,2025,2023,29774.4,Рубль,Январь-декабрь,CD
605,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Солтонский муниципальный район,Солтонский муниципальный район,1644000,Муниципальный район,Муниципальный район,01644000,Без изменений,2010,2025,2023,27338.2,Рубль,Январь-декабрь,CD
619,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Шелаболихинский муниципальный район,Шелаболихинский муниципальный район,1645000,Муниципальный район,Муниципальный район,01645000,Без изменений,2010,2025,2023,37411.9,Рубль,Январь-декабрь,CD
633,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Табунский муниципальный район,Табунский муниципальный район,1646000,Муниципальный район,Муниципальный район,01646000,Без изменений,2010,2025,2023,33780.5,Рубль,Январь-декабрь,CD
647,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Тальменский муниципальный район,Тальменский муниципальный район,1647000,Муниципальный район,Муниципальный район,01647000,Без изменений,2010,2025,2023,35932.4,Рубль,Январь-декабрь,CD
661,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Тогульский муниципальный район,Тогульский муниципальный район,1648000,Муниципальный район,Муниципальный район,01648000,Без изменений,2010,2025,2023,29375.4,Рубль,Январь-декабрь,CD
675,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Топчихинский муниципальный район,Топчихинский муниципальный район,1649000,Муниципальный район,Муниципальный район,01649000,Без изменений,2010,2025,2023,37106.7,Рубль,Январь-декабрь,CD
689,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Третьяковский муниципальный район,Третьяковский муниципальный район,1650000,Муниципальный район,Муниципальный район,01650000,Без изменений,2010,2025,2023,33786.4,Рубль,Январь-декабрь,CD
