,oktmo,Административная деятельность_зарплата,Водоснабжение_зарплата,Гос. управление и военн. безопасность_зарплата,Гостиницы и общепит_зарплата,Деятельность экстер. организаций_зарплата,Добыча полезных ископаемых_зарплата,Здравоохранение_зарплата,ИТ и связь_зарплата,Научная и проф. деятельность_зарплата,Обрабатывающие производства_зарплата,Образование_зарплата,Операции с недвижимостью_зарплата,Прочие услуги_зарплата,Сельское хозяйство_зарплата,Спорт и досуг_зарплата,Строительство_зарплата,Торговля_зарплата,Транспортировка и хранение_зарплата,Услуги ЖКХ_зарплата,Финансы и страхование_зарплата,municipal_district_name_short,territory_id,municipal_district_name,municipal_district_type,region_code,region_name,oktmo_nosplit
58,01-656-000-000,31929.95,24734.425,47458.2625,23397.5125,,,31650.825,25507.55,31800.7625,33530.725,36730.05,34456.5,,36972.0375,33521.425,31267.35,39897.7125,58066.4125,42440.6875,44061.075,Хабарский,568,Хабарский муниципальный район,муниципальный район,22,Алтайский край,01656000
59,01-657-000-000,36494.375,24034.524999999998,44219.45,,,,34055.725,31933.9,33466.4,58692.55,31303.737500000003,38864.65,170608.03333333333,31588.5375,38178.3375,81281.92,38090.1875,43470.63333333333,44422.7,46132.2,Целинный,569,Целинный муниципальный район,муниципальный район,22,Алтайский край,01657000
60,01-658-000-000,34522.225,17098.85,40901.675,21654.5,,,29412.6,29531.15,32315.4,35075.95,30473.1875,35243.45,,34782.15,30279.6,50153.73333333334,41401.475,36655.0625,35637.925,46051.825,Чарышский,570,Чарышский муниципальный район,муниципальный район,22,Алтайский край,01658000
61,01-659-000-000,33217.325,27223.1625,50961.7875,24138.45,,42670.3,31118.225,74098.525,37106.4625,59859.775,32342.9375,,,38024.325,29360.9,60031.8,39337.9375,44363.6875,46177.924999999996,49924.625,Шипуновский,571,Шипуновский муниципальный район,муниципальный район,22,Алтайский край,01659000
62,01-660-000-000,40380.15,31936.45,47403.9375,28347.5125,,,33985.612499999996,29713.35,35486.95,48285.987499999996,34740.5,27779.7,16739.125,42267.75,39704.9375,27499.399999999998,43359.0125,56709.01666666666,43118.5125,37873.375,Немецкий,572,Немецкий национальный муниципальный район,муниципальный район,22,Алтайский край,01660000
63,01-701-000-000,43927.9375,55792.65,68640.7375,37172.875,,21871.8,52395.9125,69205.325,68710.0375,61887.1875,49277.4375,62039.325,46860.6125,54801.75,46414.95,74913.1,61902.6875,58510.5625,71544.55,85237.6,Барнаул,504,городской округ город Барнаул,городской округ,22,Алтайский край,01701000
64,01-703-000-000,32708.1125,32872.15,46867.4625,35870.475,,,38976.4625,44549.65,39464.275,69990.675,36710.375,52249.0875,26757.3,20343.65,33386.35,85894.15000000001,43854.7875,49768.4625,51377.575,53519.7375,Алейск,505,городской округ город Алейск,городской округ,22,Алтайский край,01703000
65,01-704-000-000,33913.424999999996,36695.575,57510.3,40878.075,,,61468.6,36319.3125,33733.325,56205.0,39017.4,36106.25,35247.225,33116.475,40281.799999999996,,50463.4625,31841.025,61309.3875,52580.25,Белокуриха,506,городской округ город Белокуриха,городской округ,22,Алтайский край,01704000
66,01-705-000-000,38502.1125,35436.0375,55220.5875,30890.3875,,,42049.775,49254.0,60098.212499999994,63823.725,39734.8125,38953.975,35096.3625,51122.9125,40657.075,54255.375,49231.3625,49017.0875,63594.7125,71069.45,Бийск,507,городской округ город Бийск,городской округ,22,Алтайский край,01705000
67,01-706-000-000,34927.975,36413.825,53436.5125,24563.925,,,36562.5875,83819.0875,35244.9125,68045.1375,34500.35,30399.22,29702.475,40262.3625,36190.4875,69999.08333333333,46084.1,61545.275,61595.212499999994,51404.7,Заринск,508,городской округ город Заринск,городской округ,22,Алтайский край,01706000
68,01-713-000-000,36166.1625,37105.3375,56043.5875,38422.6625,,,40097.1125,72388.8625,53184.8625,64420.725,39144.05,39558.4375,41233.5875,51446.8875,40304.075,86764.38,64125.3,82020.15,52715.3,55929.6375,Новоалтайск,509,городской округ город Новоалтайск,городской округ,22,Алтайский край,01713000
69,01-716-000-000,33627.275,31442.3375,51531.85,29218.637499999997,,,38701.3875,47873.4,37216.1375,55200.8125,36925.675,38752.1125,20145.7625,34110.6875,37867.7,43766.34285714286,46337.175,49193.3625,54025.3625,49828.4625,Рубцовск,510,городской округ город Рубцовск,городской округ,22,Алтайский край,01716000
70,01-719-000-000,29919.8625,33247.875,54694.175,28236.32,,55592.725,37827.5375,43182.8375,34365.875,28148.875,37388.775,40628.725,33466.68571428571,47791.1,39279.425,73686.8625,44996.0375,48054.6875,42615.8875,50889.3375,Славгород,511,городской округ город Славгород,городской округ,22,Алтайский край,01719000
71,01-730-000-000,27539.075,41116.56666666667,52670.5625,32169.45,,,38456.9625,25239.025,26095.6,45915.425,34915.75,23270.825,20494.675,,34224.15,,41929.6,39917.95,36948.025,36982.45,Яровое,512,городской округ город Яровое,городской округ,22,Алтайский край,01730000
72,01-755-000-000,34772.275,26242.925,34112.5625,28078.25,,,38458.9125,54470.625,105522.9,83898.825,38784.125,26772.0,,,36167.325,,44340.5125,27711.65,27366.825,136800.61666666667,Сибирский,513,городской округ ЗАТО Сибирский,городской округ,22,Алтайский край,01755000
73,03-601-000-000,37407.25,35149.4375,52723.8875,33605.0625,,68967.4125,45029.85,49455.375,42463.5875,68105.5125,41911.4,50317.3,37336.9875,43830.95,38857.425,59932.619999999995,53040.1125,64727.0,47110.5125,60495.4125,Абинский,629,Абинский муниципальный район,муниципальный район,23,Краснодарский край,03601000
74,03-605-000-000,40071.6625,26290.775,50243.7125,21505.2,,99440.2,44951.175,51580.0,47374.225,24170.15,45052.8125,29565.775,55376.3,37467.575,38102.1375,57324.225,49432.85,74219.525,44348.2,57655.1,Апшеронский,630,Апшеронский муниципальный район,муниципальный район,23,Краснодарский край,03605000
75,03-607-000-000,26424.025,28701.775,51887.325,31318.199999999997,,60972.85,40448.3375,38655.3875,35117.0875,61377.7125,37339.075,17100.0,37206.85,58050.125,34374.175,29668.566666666666,48274.9625,58700.325000000004,29560.2125,72648.6,Белоглинский,631,Белоглинский муниципальный район,муниципальный район,23,Краснодарский край,03607000
76,03-608-000-000,37988.3,54429.2375,55718.975,36366.1125,,24668.7,44077.1,39587.5875,53918.9,63815.2,43821.1375,27477.566666666666,37302.775,54126.75,38142.2,96358.0125,41734.0125,61946.95,52161.7125,52994.0375,Белореченский,632,Белореченский муниципальный район,муниципальный район,23,Краснодарский край,03608000
77,03-610-000-000,31409.55,25741.2125,51713.9625,27857.175,,,43450.25,32421.375,39721.325,50248.4125,43925.2625,,31956.175,57438.4875,35813.5625,,40132.8875,48777.0875,58275.887500000004,59425.7875,Брюховецкий,633,Брюховецкий муниципальный район,муниципальный район,23,Краснодарский край,03610000
78,03-612-000-000,53781.9125,34140.475,55563.925,30012.05,,,51684.875,51601.5625,98225.825,56031.1625,43511.5,31631.5,44803.125,75130.5375,41483.1375,49724.1875,85993.3375,61292.275,47723.775,60061.125,Выселковский,634,Выселковский муниципальный район,муниципальный район,23,Краснодарский край,03612000
79,03-613-000-000,38086.979999999996,34326.7,51762.6875,28901.1625,,,41304.55,35071.4875,68359.4375,59520.274999999994,41885.4625,28422.975,37110.325,53111.674999999996,38728.175,79592.3625,50337.0,60916.975000000006,43136.4125,63829.375,Гулькевичский,635,Гулькевичский муниципальный район,муниципальный район,23,Краснодарский край,03613000
80,03-614-000-000,49031.3875,36998.775,52559.3875,50331.875,,95809.8125,48112.4875,55580.8125,55900.9125,65337.6375,44667.175,38268.7625,43390.575,45584.3875,42078.6875,68383.7625,67222.8,66854.2875,49724.8875,66241.95,Динской,636,Динской муниципальный район,муниципальный район,23,Краснодарский край,03614000
81,03-616-000-000,34213.225,39552.3,43133.775,31494.7,,,45763.65,38463.825,51505.1875,55736.2875,41353.7875,28398.3,29039.55,51687.8875,34210.7,151453.6,48200.05,48439.3375,47345.200000000004,60791.4,Ейский,637,Ейский муниципальный район,муниципальный район,23,Краснодарский край,03616000
82,03-618-000-000,30681.3125,31116.9,49963.0625,25822.95,,,43709.2125,42878.375,43235.5625,55581.1625,41881.7125,31279.9625,32161.775,52007.075,38931.7875,62853.1,50556.4375,73148.975,46697.55,64636.3125,Кавказский,638,Кавказский муниципальный район,муниципальный район,23,Краснодарский край,03618000
83,03-619-000-000,29511.512499999997,31612.225,49605.1625,27672.025,,57251.325,44610.4,33400.3375,41294.2875,33962.075,41888.5,29184.8,26034.425,46421.425,34258.875,59600.275,53552.55,62877.375,58635.825,61877.7,Калининский,639,Калининский муниципальный район,муниципальный район,23,Краснодарский край,03619000
84,03-620-000-000,41559.7,30809.1375,52100.9875,28806.325,,78292.775,48078.1625,49958.4375,47848.2125,48613.3625,38384.8125,38693.35,17651.525,55705.3875,35203.7375,40277.58571428571,63302.225,47839.5,49303.987499999996,61392.0,Каневской,640,Каневской муниципальный район,муниципальный район,23,Краснодарский край,03620000
85,03-621-000-000,63174.6,36149.375,46183.5875,31946.925,,,42642.7,54579.1125,49436.325,61032.274999999994,41398.3875,40924.65,35448.2375,58156.65,37278.475,51094.0375,47658.3625,56696.225,49393.3,72592.0,Кореновский,641,Кореновский муниципальный район,муниципальный район,23,Краснодарский край,03621000
