,indicator_section_code,indicator_section,indicator_code,indicator_name,sport,region_id,region_name,mun_level,mun_district,municipality,oktmo,mun_type,mun_type_oktmo,oktmo_stable,oktmo_history,oktmo_year_from,oktmo_year_to,indicator_value,indicator_unit,indicator_period,comment,year
1,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Залесовский муниципальный округ,Залесовский муниципальный округ,1512000,Муниципальный округ,Муниципальный округ,01512000,Изменен тип и название,2022,2025,40.0,Единица,Значение показателя за год,CD,2023
51,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Алейский муниципальный район,Алейский муниципальный район,1601000,Муниципальный район,Муниципальный район,01601000,Без изменений,2010,2025,61.0,Единица,Значение показателя за год,CD,2023
1043,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Алтайский муниципальный район,Алтайский муниципальный район,1602000,Муниципальный район,Муниципальный район,01602000,Без изменений,2010,2025,69.0,Единица,Значение показателя за год,CD,2023
1617,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Баевский муниципальный район,Баевский муниципальный район,1603000,Муниципальный район,Муниципальный район,01603000,Без изменений,2010,2025,40.0,Единица,Значение показателя за год,CD,2023
2028,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Бийский муниципальный район,Бийский муниципальный район,1604000,Муниципальный район,Муниципальный район,01604000,Без изменений,2010,2025,93.0,Единица,Значение показателя за год,CD,2023
2856,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Благовещенский муниципальный район,Благовещенский муниципальный район,1605000,Муниципальный район,Муниципальный район,01605000,Без изменений,2010,2025,71.0,Единица,Значение показателя за год,CD,2023
3574,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Бурлинский муниципальный район,Бурлинский муниципальный район,1606000,Муниципальный район,Муниципальный район,01606000,Без изменений,2010,2025,35.0,Единица,Значение показателя за год,CD,2023
4032,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Быстроистокский муниципальный район,Быстроистокский муниципальный район,1607000,Муниципальный район,Муниципальный район,01607000,Без изменений,2010,2025,40.0,Единица,Значение показателя за год,CD,2023
4503,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Волчихинский муниципальный район,Волчихинский муниципальный район,1608000,Муниципальный район,Муниципальный район,01608000,Без изменений,2010,2025,47.0,Единица,Значение показателя за год,CD,2023
5119,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Егорьевский муниципальный район,Егорьевский муниципальный район,1609000,Муниципальный район,Муниципальный район,01609000,Без изменений,2010,2025,59.0,Единица,Значение показателя за год,CD,2023
5587,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Ельцовский муниципальный район,Ельцовский муниципальный район,1610000,Муниципальный район,Муниципальный район,01610000,Без изменений,2010,2025,18.0,Единица,Значение показателя за год,CD,2023
5863,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Завьяловский муниципальный район,Завьяловский муниципальный район,1611000,Муниципальный район,Муниципальный район,01611000,Без изменений,2010,2025,74.0,Единица,Значение показателя за год,CD,2023
6915,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Заринский муниципальный район,Заринский муниципальный район,1613000,Муниципальный район,Муниципальный район,01613000,Без изменений,2010,2025,40.0,Единица,Значение показателя за год,CD,2023
7901,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Змеиногорский муниципальный район,Змеиногорский муниципальный район,1614000,Муниципальный район,Муниципальный район,01614000,Без изменений,2010,2025,63.0,Единица,Значение показателя за год,CD,2023
8410,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Калманский муниципальный район,Калманский муниципальный район,1615000,Муниципальный район,Муниципальный район,01615000,Без изменений,2010,2025,49.0,Единица,Значение показателя за год,CD,2023
8946,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Каменский муниципальный район,Каменский муниципальный район,1616000,Муниципальный район,Муниципальный район,01616000,Объединение,2010,2025,133.0,Единица,Значение показателя за год,CD,2023
9620,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Ключевский муниципальный район,Ключевский муниципальный район,1617000,Муниципальный район,Муниципальный район,01617000,Без изменений,2010,2025,56.0,Единица,Значение показателя за год,CD,2023
10168,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Косихинский муниципальный район,Косихинский муниципальный район,1618000,Муниципальный район,Муниципальный район,01618000,Без изменений,2010,2025,86.0,Единица,Значение показателя за год,CD,2023
10794,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Красногорский муниципальный район,Красногорский муниципальный район,1619000,Муниципальный район,Муниципальный район,01619000,Без изменений,2010,2025,61.0,Единица,Значение показателя за год,CD,2023
11240,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Краснощёковский муниципальный район,Краснощёковский муниципальный район,1620000,Муниципальный район,Муниципальный район,01620000,Без изменений,2010,2025,38.0,Единица,Значение показателя за год,CD,2023
11904,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Крутихинский муниципальный район,Крутихинский муниципальный район,1621000,Муниципальный район,Муниципальный район,01621000,Без изменений,2010,2025,42.0,Единица,Значение показателя за год,CD,2023
12380,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Кулундинский муниципальный район,Кулундинский муниципальный район,1622000,Муниципальный район,Муниципальный район,01622000,Без изменений,2010,2025,49.0,Единица,Значение показателя за год,CD,2023
12913,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Курьинский муниципальный район,Курьинский муниципальный район,1623000,Муниципальный район,Муниципальный район,01623000,Без изменений,2010,2025,21.0,Единица,Значение показателя за год,CD,2023
13410,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Кытмановский муниципальный район,Кытмановский муниципальный район,1624000,Муниципальный район,Муниципальный район,01624000,Без изменений,2010,2025,27.0,Единица,Значение показателя за год,CD,2023
14022,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Локтевский муниципальный район,Локтевский муниципальный район,1625000,Муниципальный район,Муниципальный район,01625000,Без изменений,2010,2025,68.0,Единица,Значение показателя за год,CD,2023
14968,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Мамонтовский муниципальный район,Мамонтовский муниципальный район,1626000,Муниципальный район,Муниципальный район,01626000,Без изменений,2010,2025,69.0,Единица,Значение показателя за год,CD,2023
15748,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Михайловский муниципальный район,Михайловский муниципальный район,1627000,Муниципальный район,Муниципальный район,01627000,Без изменений,2010,2025,50.0,Единица,Значение показателя за год,CD,2023
16214,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Новичихинский муниципальный район,Новичихинский муниципальный район,1628000,Муниципальный район,Муниципальный район,01628000,Без изменений,2010,2025,42.0,Единица,Значение показателя за год,CD,2023
16661,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Зональный муниципальный район,Зональный муниципальный район,1629000,Муниципальный район,Муниципальный район,01629000,Без изменений,2010,2025,76.0,Единица,Значение показателя за год,CD,2023
17187,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Павловский муниципальный район,Павловский муниципальный район,1630000,Муниципальный район,Муниципальный район,01630000,Без изменений,2010,2025,78.0,Единица,Значение показателя за год,CD,2023
18018,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Панкрушихинский муниципальный район,Панкрушихинский муниципальный район,1631000,Муниципальный район,Муниципальный район,01631000,Без изменений,2010,2025,41.0,Единица,Значение показателя за год,CD,2023
18593,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Первомайский муниципальный район,Первомайский муниципальный район,1632000,Муниципальный район,Муниципальный район,01632000,Без изменений,2010,2025,100.0,Единица,Значение показателя за год,CD,2023
19477,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Петропавловский муниципальный район,Петропавловский муниципальный район,1633000,Муниципальный район,Муниципальный район,01633000,Без изменений,2010,2025,32.0,Единица,Значение показателя за год,CD,2023
20005,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Поспелихинский муниципальный район,Поспелихинский муниципальный район,1634000,Муниципальный район,Муниципальный район,01634000,Без изменений,2010,2025,86.0,Единица,Значение показателя за год,CD,2023
20634,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Ребрихинский муниципальный район,Ребрихинский муниципальный район,1635000,Муниципальный район,Муниципальный район,01635000,Без изменений,2010,2025,126.0,Единица,Значение показателя за год,CD,2023
21497,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Родинский муниципальный район,Родинский муниципальный район,1636000,Муниципальный район,Муниципальный район,01636000,Без изменений,2010,2025,54.0,Единица,Значение показателя за год,CD,2023
22213,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Романовский муниципальный район,Романовский муниципальный район,1637000,Муниципальный район,Муниципальный район,01637000,Без изменений,2010,2025,31.0,Единица,Значение показателя за год,CD,2023
22802,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Рубцовский муниципальный район,Рубцовский муниципальный район,1638000,Муниципальный район,Муниципальный район,01638000,Без изменений,2010,2025,64.0,Единица,Значение показателя за год,CD,2023
23869,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Смоленский муниципальный район,Смоленский муниципальный район,1640000,Муниципальный район,Муниципальный район,01640000,Без изменений,2010,2025,74.0,Единица,Значение показателя за год,CD,2023
24434,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Суетский муниципальный район,Суетский муниципальный район,1641000,Муниципальный район,Муниципальный район,01541000,Изменен тип и название,2010,2022,13.0,Единица,Значение показателя за год,CD,2023
24714,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Советский муниципальный район,Советский муниципальный район,1642000,Муниципальный район,Муниципальный район,01642000,Без изменений,2010,2025,56.0,Единица,Значение показателя за год,CD,2023
25396,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Солонешенский муниципальный район,Солонешенский муниципальный район,1643000,Муниципальный район,Муниципальный район,01643000,Без изменений,2010,2025,29.0,Единица,Значение показателя за год,CD,2023
25822,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Солтонский муниципальный район,Солтонский муниципальный район,1644000,Муниципальный район,Муниципальный район,01644000,Без изменений,2010,2025,21.0,Единица,Значение показателя за год,CD,2023
26228,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Шелаболихинский муниципальный район,Шелаболихинский муниципальный район,1645000,Муниципальный район,Муниципальный район,01645000,Без изменений,2010,2025,45.0,Единица,Значение показателя за год,CD,2023
26817,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Табунский муниципальный район,Табунский муниципальный район,1646000,Муниципальный район,Муниципальный район,01646000,Без изменений,2010,2025,24.0,Единица,Значение показателя за год,CD,2023
27215,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Тальменский муниципальный район,Тальменский муниципальный район,1647000,Муниципальный район,Муниципальный район,01647000,Без изменений,2010,2025,104.0,Единица,Значение показателя за год,CD,2023
28236,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Тогульский муниципальный район,Тогульский муниципальный район,1648000,Муниципальный район,Муниципальный район,01648000,Без изменений,2010,2025,21.0,Единица,Значение показателя за год,CD,2023
28520,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Топчихинский муниципальный район,Топчихинский муниципальный район,1649000,Муниципальный район,Муниципальный район,01649000,Без изменений,2010,2025,57.0,Единица,Значение показателя за год,CD,2023
29466,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Третьяковский муниципальный район,Третьяковский муниципальный район,1650000,Муниципальный район,Муниципальный район,01650000,Без изменений,2010,2025,39.0,Единица,Значение показателя за год,CD,2023
29988,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Троицкий муниципальный район,Троицкий муниципальный район,1651000,Муниципальный район,Муниципальный район,01651000,Без изменений,2010,2025,75.0,Единица,Значение показателя за год,CD,2023
30710,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Тюменцевский муниципальный район,Тюменцевский муниципальный район,1652000,Муниципальный район,Муниципальный район,01652000,Без изменений,2010,2025,31.0,Единица,Значение показателя за год,CD,2023
31349,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Угловский муниципальный район,Угловский муниципальный район,1653000,Муниципальный район,Муниципальный район,01653000,Без изменений,2010,2025,48.0,Единица,Значение показателя за год,CD,2023
31910,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Усть-Калманский муниципальный район,Усть-Калманский муниципальный район,1654000,Муниципальный район,Муниципальный район,01654000,Без изменений,2010,2025,47.0,Единица,Значение показателя за год,CD,2023
32460,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Усть-Пристанский муниципальный район,Усть-Пристанский муниципальный район,1655000,Муниципальный район,Муниципальный район,01655000,Без изменений,2010,2025,42.0,Единица,Значение показателя за год,CD,2023
33185,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Хабарский муниципальный район,Хабарский муниципальный район,1656000,Муниципальный район,Муниципальный район,01656000,Без изменений,2010,2025,52.0,Единица,Значение показателя за год,CD,2023
33697,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Целинный муниципальный район,Целинный муниципальный район,1657000,Муниципальный район,Муниципальный район,01657000,Без изменений,2010,2025,50.0,Единица,Значение показателя за год,CD,2023
34380,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Чарышский муниципальный район,Чарышский муниципальный район,1658000,Муниципальный район,Муниципальный район,01558000,Изменен тип и название,2010,2022,63.0,Единица,Значение показателя за год,CD,2023
34908,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Шипуновский муниципальный район,Шипуновский муниципальный район,1659000,Муниципальный район,Муниципальный район,01659000,Без изменений,2010,2025,103.0,Единица,Значение показателя за год,CD,2023
36045,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Немецкий национальный муниципальный район,Немецкий национальный муниципальный район,1660000,Муниципальный район,Муниципальный район,01660000,Без изменений,2010,2025,84.0,Единица,Значение показателя за год,CD,2023
36809,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Город Барнаул,Город Барнаул,1701000,"Городской округ, городской округ с внутригородским делением","Городской округ, городской округ с внутригородским делением",01701000,Без изменений,2010,2025,670.0,Единица,Значение показателя за год,CD,2023
36879,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Город Алейск,Город Алейск,1703000,"Городской округ, городской округ с внутригородским делением","Городской округ, городской округ с внутригородским делением",01703000,Без изменений,2010,2025,58.0,Единица,Значение показателя за год,CD,2023
36936,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Город Белокуриха,Город Белокуриха,1704000,"Городской округ, городской округ с внутригородским делением","Городской округ, городской округ с внутригородским делением",01704000,Без изменений,2010,2025,10.0,Единица,Значение показателя за год,CD,2023
37018,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Город Бийск,Город Бийск,1705000,"Городской округ, городской округ с внутригородским делением","Городской округ, городской округ с внутригородским делением",01705000,Без изменений,2010,2025,419.0,Единица,Значение показателя за год,CD,2023
37096,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Город Заринск,Город Заринск,1706000,"Городской округ, городской округ с внутригородским делением","Городской округ, городской округ с внутригородским делением",01706000,Без изменений,2010,2025,82.0,Единица,Значение показателя за год,CD,2023
37231,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Город Новоалтайск,Город Новоалтайск,1713000,"Городской округ, городской округ с внутригородским делением","Городской округ, городской округ с внутригородским делением",01713000,Без изменений,2010,2025,167.0,Единица,Значение показателя за год,CD,2023
37316,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Город Рубцовск,Город Рубцовск,1716000,"Городской округ, городской округ с внутригородским делением","Городской округ, городской округ с внутригородским делением",01716000,Без изменений,2010,2025,277.0,Единица,Значение показателя за год,CD,2023
37401,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Город Славгород,Город Славгород,1719000,"Городской округ, городской округ с внутригородским делением","Городской округ, городской округ с внутригородским делением",01539000,"Изменен тип и название, Объединение",2012,2022,123.0,Единица,Значение показателя за год,CD,2023
37484,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Город Яровое,Город Яровое,1730000,"Городской округ, городской округ с внутригородским делением","Городской округ, городской округ с внутригородским делением",01730000,Без изменений,2010,2025,59.0,Единица,Значение показателя за год,CD,2023
37519,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,ЗАТО Сибирский,ЗАТО Сибирский,1755000,"Городской округ, городской округ с внутригородским делением","Городской округ, городской округ с внутригородским делением",01755000,Без изменений,2010,2025,37.0,Единица,Значение показателя за год,CD,2023
37598,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,3,Краснодарский край,Муниципальное образование верхнего уровня,Абинский муниципальный район,Абинский муниципальный район,3601000,Муниципальный район,Муниципальный район,03601000,Без изменений,2010,2025,222.0,Единица,Значение показателя за год,CD,2023
38109,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,3,Краснодарский край,Муниципальное образование верхнего уровня,Апшеронский муниципальный район,Апшеронский муниципальный район,3605000,Муниципальный район,Муниципальный район,03605000,Без изменений,2010,2025,176.0,Единица,Значение показателя за год,CD,2023
38807,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,3,Краснодарский край,Муниципальное образование верхнего уровня,Белоглинский муниципальный район,Белоглинский муниципальный район,3607000,Муниципальный район,Муниципальный район,03607000,Без изменений,2010,2025,79.0,Единица,Значение показателя за год,CD,2023
39107,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,3,Краснодарский край,Муниципальное образование верхнего уровня,Белореченский муниципальный район,Белореченский муниципальный район,3608000,Муниципальный район,Муниципальный район,03608000,Без изменений,2010,2025,266.0,Единица,Значение показателя за год,CD,2023
