,index,oktmo_x,indicator_value,municipal_district_name_short,oktmo_y,territory_id,municipal_district_name,municipal_district_type,region_code,region_name,oktmo_nosplit
149,149,4649000,2908.75,,,,,,,,
150,150,4650000,4873.25,,,,,,,,
151,151,4651000,6010.25,,,,,,,,
152,152,4652000,3460.5,,,,,,,,
153,153,4653000,5842.5,,,,,,,,
154,154,4654000,11835.5,,,,,,,,
155,155,4656000,6757.0,,,,,,,,
156,156,4657000,5849.0,,,,,,,,
157,157,4659000,10813.5,,,,,,,,
158,158,4701000,232178.0,,,,,,,,
159,159,4703000,23708.75,,,,,,,,
160,160,4706000,4716.5,,,,,,,,
161,161,4707000,4731.75,,,,,,,,
162,162,4709000,8440.0,,,,,,,,
163,163,4712000,5753.75,,,,,,,,
164,164,4720000,20436.25,,,,,,,,
165,165,4722000,19770.75,,,,,,,,
166,166,4723000,20034.5,,,,,,,,
167,167,4726000,13794.0,,,,,,,,
168,168,4729000,32953.0,,,,,,,,
169,169,4733000,11894.75,,,,,,,,
170,170,4740000,9430.5,,,,,,,,
171,171,4775000,1196.0,,,,,,,,
172,172,5546000,18420.0,,,,,,,,
173,173,5701000,89123.75,,,,,,,,
174,174,5703000,21111.25,,,,,,,,
175,175,5705000,43141.0,,,,,,,,
176,176,5707000,21780.5,,,,,,,,
177,177,5708000,13563.75,,,,,,,,
178,178,5711000,29202.0,,,,,,,,
179,179,5714000,34682.25,,,,,,,,
180,180,5723000,40371.5,,,,,,,,
181,181,7502000,14240.25,,,,,,,,
182,182,7503000,7507.0,,,,,,,,
183,183,7505000,7144.5,,,,,,,,
184,184,7507000,6995.25,,,,,,,,
185,185,7512000,23448.75,,,,,,,,
186,186,7517000,9332.0,,,,,,,,
187,187,7528000,14138.75,,,,,,,,
188,188,7530000,9556.25,,,,,,,,
189,189,7533000,15117.5,,,,,,,,
190,190,7536000,8005.5,,,,,,,,
191,191,7544000,6793.75,,,,,,,,
192,192,7548000,24346.75,,,,,,,,
193,193,7552000,4299.25,,,,,,,,
194,194,7554000,8720.75,,,,,,,,
195,195,7556000,7287.5,,,,,,,,
196,196,7558000,26837.75,,,,,,,,
197,197,7701000,90183.25,,,,,,,,
198,198,7705000,9974.5,,,,,,,,
199,199,7707000,30009.5,,,,,,,,
200,200,7710000,20637.0,,,,,,,,
201,201,7712000,7140.75,,,,,,,,
202,202,7713000,23259.5,,,,,,,,
203,203,7714000,11043.75,,,,,,,,
204,204,7715000,18887.25,,,,,,,,
205,205,7716000,14724.5,,,,,,,,
206,206,7718000,4505.0,,,,,,,,
207,207,7721000,27091.75,,,,,,,,
208,208,7724000,26877.75,,,,,,,,
209,209,7725000,10941.25,,,,,,,,
210,210,7726000,13177.0,,,,,,,,
211,211,7727000,34403.0,,,,,,,,
212,212,7731000,15903.25,,,,,,,,
213,213,7735000,16628.75,,,,,,,,
214,214,8603000,12850.5,,,,,,,,
215,215,8606000,490.25,,,,,,,,
216,216,8609000,3938.0,,,,,,,,
217,217,8612000,6562.75,,,,,,,,
218,218,8614000,5221.5,,,,,,,,
219,219,8617000,4534.0,,,,,,,,
220,220,8620000,3734.5,,,,,,,,
221,221,8624000,11134.25,,,,,,,,
222,222,8628000,3138.5,,,,,,,,
223,223,8631000,5297.75,,,,,,,,
224,224,8634000,1065.75,,,,,,,,
225,225,8637000,761.0,,,,,,,,
226,226,8642000,5881.25,,,,,,,,
227,227,8644000,6044.0,,,,,,,,
228,228,8646000,495.75,,,,,,,,
229,229,8650000,3106.0,,,,,,,,
230,230,8655000,14308.25,,,,,,,,
231,231,8701000,122383.0,,,,,,,,
232,232,8709000,45391.5,,,,,,,,
233,233,10505000,3546.5,Архаринский,10-505-000-000,870.0,Архаринский муниципальный округ,муниципальный округ,28.0,Амурская область,10505000
234,234,10515000,4196.5,Бурейский,10-515-000-000,873.0,Бурейский муниципальный округ,муниципальный округ,28.0,Амурская область,10515000
235,235,10521000,3338.5,Завитинский,10-521-000-000,874.0,Завитинский муниципальный округ,муниципальный округ,28.0,Амурская область,10521000
236,236,10528000,6233.5,Ивановский,10-528-000-000,876.0,Ивановский муниципальный округ,муниципальный округ,28.0,Амурская область,10528000
237,237,10540000,2186.0,Ромненский,10-540-000-000,882.0,Ромненский муниципальный округ,муниципальный округ,28.0,Амурская область,10540000
238,238,10547000,5617.0,Серышевский,10-547-000-000,885.0,Серышевский муниципальный округ,муниципальный округ,28.0,Амурская область,10547000
239,239,10549000,3210.25,Сковородинский,10-549-000-000,886.0,Сковородинский муниципальный округ,муниципальный округ,28.0,Амурская область,10549000
240,240,10551000,6604.25,Тамбовский,10-551-000-000,887.0,Тамбовский муниципальный округ,муниципальный округ,28.0,Амурская область,10551000
241,241,10625000,3154.5,Зейский,10-625-000-000,875.0,Зейский муниципальный район,муниципальный район,28.0,Амурская область,10625000
242,242,10630000,3354.5,Константиновский,10-630-000-000,877.0,Константиновский муниципальный район,муниципальный район,28.0,Амурская область,10630000
243,243,10631000,3368.75,Магдагачинский,10-631-000-000,878.0,Магдагачинский муниципальный район,муниципальный район,28.0,Амурская область,10631000
244,244,10632000,3835.0,Мазановский,10-632-000-000,879.0,Мазановский муниципальный район,муниципальный район,28.0,Амурская область,10632000
245,245,10635000,2029.75,Михайловский,10-635-000-000,880.0,Михайловский муниципальный район,муниципальный район,28.0,Амурская область,10635000
246,246,10638000,3313.5,Октябрьский,10-638-000-000,881.0,Октябрьский муниципальный район,муниципальный район,28.0,Амурская область,10638000
247,247,10642000,2378.25,Свободненский,10-642-000-000,883.0,Свободненский муниципальный район,муниципальный район,28.0,Амурская область,10642000
248,248,10645000,2018.25,Селемджинский,10-645-000-000,884.0,Селемджинский муниципальный район,муниципальный район,28.0,Амурская область,10645000
249,249,10701000,37263.75,Благовещенск,10-701-000-000,861.0,городской округ город Благовещенск,городской округ,28.0,Амурская область,10701000
250,250,10710000,12667.0,Белогорск,10-710-000-000,862.0,городской округ город Белогорск,городской округ,28.0,Амурская область,10710000
251,251,10712000,5218.0,Зея,10-712-000-000,863.0,городской округ город Зея,городской округ,28.0,Амурская область,10712000
252,252,10720000,4010.75,Райчихинск,10-720-000-000,864.0,городской округ город Райчихинск,городской округ,28.0,Амурская область,10720000
253,253,10730000,8681.5,Свободный,10-730-000-000,865.0,городской округ город Свободный,городской округ,28.0,Амурская область,10730000
254,254,10732000,7575.5,Тында,10-732-000-000,866.0,городской округ город Тында,городской округ,28.0,Амурская область,10732000
255,255,10740000,4061.5,Шимановск,10-740-000-000,867.0,городской округ город Шимановск,городской округ,28.0,Амурская область,10740000
256,256,10775000,2692.0,Прогресс,10-775-000-000,868.0,городской округ рабочий поселок (поселок городского типа) Прогресс,городской округ,28.0,Амурская область,10775000
257,257,11508000,6126.5,Верхнетоемский,11-508-000-000,898.0,Верхнетоемский муниципальный округ,муниципальный округ,29.0,Архангельская область,11508000
258,258,11511000,4584.75,Вилегодский,11-511-000-000,899.0,муниципальный округ Вилегодский,муниципальный округ,29.0,Архангельская область,11511000
259,259,11514000,5859.5,Виноградовский,11-514-000-000,900.0,Виноградовский муниципальный округ,муниципальный округ,29.0,Архангельская область,11514000
260,260,11518000,6106.5,Каргопольский,11-518-000-000,901.0,муниципальный округ Каргопольский,муниципальный округ,29.0,Архангельская область,11518000
261,261,11527000,1771.0,Котласский,11-527-000-000,903.0,Котласский муниципальный округ,муниципальный округ,29.0,Архангельская область,11527000
262,262,11538000,2897.25,Лешуконский,11-538-000-000,906.0,Лешуконский муниципальный округ,муниципальный округ,29.0,Архангельская область,11538000
263,263,11542000,3664.5,Мезенский,11-542-000-000,907.0,Мезенский муниципальный округ,муниципальный округ,29.0,Архангельская область,11542000
264,264,11544000,7716.25,Няндомский,11-544-000-000,908.0,Няндомский муниципальный округ,муниципальный округ,29.0,Архангельская область,11544000
265,265,11550000,14358.0,Плесецкий,11-550-000-000,911.0,Плесецкий муниципальный округ,муниципальный округ,29.0,Архангельская область,11550000
266,266,11554000,11494.75,Устьянский,11-554-000-000,913.0,Устьянский муниципальный округ,муниципальный округ,29.0,Архангельская область,11554000
267,267,11556000,8098.0,Холмогорский,11-556-000-000,914.0,Холмогорский муниципальный округ,муниципальный округ,29.0,Архангельская область,11556000
268,268,11558000,3885.25,Шенкурский,11-558-000-000,915.0,Шенкурский муниципальный округ,муниципальный округ,29.0,Архангельская область,11558000
269,269,11605000,15935.0,Вельский,11-605-000-000,897.0,Вельский муниципальный район,муниципальный район,29.0,Архангельская область,11605000
270,270,11622000,8154.75,Коношский,11-622-000-000,902.0,Коношский муниципальный район,муниципальный район,29.0,Архангельская область,11622000
271,271,11630000,4351.5,Красноборский,11-630-000-000,904.0,Красноборский муниципальный район,муниципальный район,29.0,Архангельская область,11630000
272,272,11635000,4385.25,Ленский,11-635-000-000,905.0,Ленский муниципальный район,муниципальный район,29.0,Архангельская область,11635000
273,273,11646000,8906.0,Онежский,11-646-000-000,909.0,Онежский муниципальный район,муниципальный район,29.0,Архангельская область,11646000
274,274,11648000,10555.25,Пинежский,11-648-000-000,910.0,Пинежский муниципальный район,муниципальный район,29.0,Архангельская область,11648000
275,275,11652000,305.0,Приморский,11-652-000-000,912.0,Приморский муниципальный район,муниципальный район,29.0,Архангельская область,11652000
276,276,11701000,98333.5,Архангельск,11-701-000-000,890.0,городской округ город Архангельск,городской округ,29.0,Архангельская область,11701000
277,277,11708000,11027.25,Коряжма,11-708-000-000,891.0,городской округ город Коряжма,городской округ,29.0,Архангельская область,11708000
278,278,11710000,29226.0,Котлас,11-710-000-000,892.0,городской округ Котлас,городской округ,29.0,Архангельская область,11710000
279,279,11715000,10971.25,Новодвинск,11-715-000-000,895.0,городской округ город Новодвинск,городской округ,29.0,Архангельская область,11715000
280,280,11730000,52850.5,Северодвинск,11-730-000-000,896.0,городской округ Северодвинск,городской округ,29.0,Архангельская область,11730000
281,281,11851000,9641.5,Нарьян-Мар,11-851-000-000,916.0,городской округ город Нарьян-Мар,городской округ,83.0,Ненецкий автономный округ,11851000
282,282,12605000,14492.0,Ахтубинский,12-605-000-000,920.0,Ахтубинский муниципальный район,муниципальный район,30.0,Астраханская область,12605000
283,283,12610000,12218.0,Володарский,12-610-000-000,921.0,Володарский муниципальный район,муниципальный район,30.0,Астраханская область,12610000
284,284,12615000,5900.25,Енотаевский,12-615-000-000,922.0,Енотаевский муниципальный район,муниципальный район,30.0,Астраханская область,12615000
285,285,12620000,10499.5,Икрянинский,12-620-000-000,923.0,Икрянинский муниципальный район,муниципальный район,30.0,Астраханская область,12620000
286,286,12625000,10488.25,Камызякский,12-625-000-000,924.0,Камызякский муниципальный район,муниципальный район,30.0,Астраханская область,12625000
287,287,12630000,6771.75,Красноярский,12-630-000-000,925.0,Красноярский муниципальный район,муниципальный район,30.0,Астраханская область,12630000
288,288,12635000,8129.5,Лиманский,12-635-000-000,926.0,Лиманский муниципальный район,муниципальный район,30.0,Астраханская область,12635000
289,289,12640000,9186.75,Наримановский,12-640-000-000,927.0,Наримановский муниципальный район,муниципальный район,30.0,Астраханская область,12640000
290,290,12642000,11563.25,Приволжский,12-642-000-000,928.0,Приволжский муниципальный район,муниципальный район,30.0,Астраханская область,12642000
291,291,12645000,7909.0,Харабалинский,12-645-000-000,929.0,Харабалинский муниципальный район,муниципальный район,30.0,Астраханская область,12645000
292,292,12650000,4123.5,Черноярский,12-650-000-000,930.0,Черноярский муниципальный район,муниципальный район,30.0,Астраханская область,12650000
293,293,12701000,90728.0,Астрахань,12-701-000-000,918.0,городской округ город Астрахань,городской округ,30.0,Астраханская область,12701000
294,294,12719000,5983.5,Знаменск,12-719-000-000,919.0,городской округ ЗАТО Знаменск,городской округ,30.0,Астраханская область,12719000
295,295,14610000,31073.75,Белгородский,14-610-000-000,935.0,Белгородский муниципальный район,муниципальный район,31.0,Белгородская область,14610000
296,296,14615000,5059.0,Борисовский,14-615-000-000,936.0,Борисовский муниципальный район,муниципальный район,31.0,Белгородская область,14615000
297,297,14625000,5445.5,Вейделевский,14-625-000-000,938.0,Вейделевский муниципальный район,муниципальный район,31.0,Белгородская область,14625000
298,298,14630000,6500.75,Волоконовский,14-630-000-000,939.0,Волоконовский муниципальный район,муниципальный район,31.0,Белгородская область,14630000
299,299,14638000,6675.25,Ивнянский,14-638-000-000,941.0,Ивнянский муниципальный район,муниципальный район,31.0,Белгородская область,14638000
300,300,14640000,9066.75,Корочанский,14-640-000-000,942.0,Корочанский муниципальный район,муниципальный район,31.0,Белгородская область,14640000
301,301,14641000,2625.5,Красненский,14-641-000-000,943.0,Красненский муниципальный район,муниципальный район,31.0,Белгородская область,14641000
302,302,14642000,8551.75,Красногвардейский,14-642-000-000,944.0,Красногвардейский муниципальный район,муниципальный район,31.0,Белгородская область,14642000
303,303,14643000,3558.5,Краснояружский,14-643-000-000,945.0,Краснояружский муниципальный район,муниципальный район,31.0,Белгородская область,14643000
304,304,14646000,5724.5,Прохоровский,14-646-000-000,947.0,Прохоровский муниципальный район,муниципальный район,31.0,Белгородская область,14646000
305,305,14648000,6947.25,Ракитянский,14-648-000-000,948.0,Ракитянский муниципальный район,муниципальный район,31.0,Белгородская область,14648000
306,306,14650000,4936.75,Ровеньский,14-650-000-000,949.0,Ровеньский муниципальный район,муниципальный район,31.0,Белгородская область,14650000
307,307,14654000,6541.25,Чернянский,14-654-000-000,950.0,Чернянский муниципальный район,муниципальный район,31.0,Белгородская область,14654000
308,308,14701000,114224.75,Белгород,14-701-000-000,931.0,городской округ город Белгород,городской округ,31.0,Белгородская область,14701000
309,309,14710000,14111.5,Алексеевский,14-710-000-000,934.0,городской округ Алексеевский,городской округ,31.0,Белгородская область,14710000
310,310,14720000,11785.5,Валуйский,14-720-000-000,937.0,городской округ Валуйский,городской округ,31.0,Белгородская область,14720000
311,311,14725000,5328.0,Грайворонский,14-725-000-000,940.0,городской округ Грайворонский,городской округ,31.0,Белгородская область,14725000
312,312,14730000,22070.75,Губкинский,14-730-000-000,932.0,городской округ Губкинский,городской округ,31.0,Белгородская область,14730000
313,313,14735000,8375.0,Новооскольский,14-735-000-000,946.0,городской округ Новооскольский,городской округ,31.0,Белгородская область,14735000
314,314,14740000,48893.75,Старооскольский,14-740-000-000,933.0,городской округ Старооскольский,городской округ,31.0,Белгородская область,14740000
315,315,14750000,19092.5,Шебекинский,14-750-000-000,951.0,городской округ Шебекинский,городской округ,31.0,Белгородская область,14750000
316,316,14755000,14856.0,Яковлевский,14-755-000-000,952.0,городской округ Яковлевский,городской округ,31.0,Белгородская область,14755000
317,317,15501000,7689.5,Стародубский,15-501-000-000,2714.0,муниципальный округ Стародубский,муниципальный округ,32.0,Брянская область,15501000
318,318,15502000,5973.0,Жуковский,15-502-000-000,966.0,муниципальный округ Жуковский,муниципальный округ,32.0,Брянская область,15502000
319,319,15604000,4200.0,Брасовский,15-604-000-000,959.0,Брасовский муниципальный район,муниципальный район,32.0,Брянская область,15604000
320,320,15608000,12885.0,Брянский,15-608-000-000,960.0,Брянский муниципальный район,муниципальный район,32.0,Брянская область,15608000
321,321,15610000,3786.75,Выгоничский,15-610-000-000,961.0,Выгоничский муниципальный район,муниципальный район,32.0,Брянская область,15610000
322,322,15611000,1942.0,Гордеевский,15-611-000-000,962.0,Гордеевский муниципальный район,муниципальный район,32.0,Брянская область,15611000
323,323,15612000,5035.0,Дубровский,15-612-000-000,963.0,Дубровский муниципальный район,муниципальный район,32.0,Брянская область,15612000
324,324,15616000,12914.75,Дятьковский,15-616-000-000,964.0,Дятьковский муниципальный район,муниципальный район,32.0,Брянская область,15616000
325,325,15620000,1414.25,Жирятинский,15-620-000-000,965.0,Жирятинский муниципальный район,муниципальный район,32.0,Брянская область,15620000
326,326,15623000,2234.5,Злынковский,15-623-000-000,967.0,Злынковский муниципальный район,муниципальный район,32.0,Брянская область,15623000
327,327,15624000,7789.5,Карачевский,15-624-000-000,968.0,Карачевский муниципальный район,муниципальный район,32.0,Брянская область,15624000
328,328,15626000,4038.0,Клетнянский,15-626-000-000,969.0,Клетнянский муниципальный район,муниципальный район,32.0,Брянская область,15626000
329,329,15628000,5545.0,Климовский,15-628-000-000,970.0,Климовский муниципальный район,муниципальный район,32.0,Брянская область,15628000
330,330,15630000,241.75,Клинцовский,15-630-000-000,971.0,Клинцовский муниципальный район,муниципальный район,32.0,Брянская область,15630000
331,331,15632000,2721.0,Комаричский,15-632-000-000,972.0,Комаричский муниципальный район,муниципальный район,32.0,Брянская область,15632000
332,332,15634000,3085.0,Красногорский,15-634-000-000,973.0,Красногорский муниципальный район,муниципальный район,32.0,Брянская область,15634000
333,333,15636000,3401.5,Мглинский,15-636-000-000,974.0,Мглинский муниципальный район,муниципальный район,32.0,Брянская область,15636000
334,334,15638000,5078.5,Навлинский,15-638-000-000,975.0,Навлинский муниципальный район,муниципальный район,32.0,Брянская область,15638000
335,335,15642000,6842.75,Погарский,15-642-000-000,977.0,Погарский муниципальный район,муниципальный район,32.0,Брянская область,15642000
336,336,15644000,10310.25,Почепский,15-644-000-000,978.0,Почепский муниципальный район,муниципальный район,32.0,Брянская область,15644000
337,337,15646000,223.5,Рогнединский,15-646-000-000,979.0,Рогнединский муниципальный район,муниципальный район,32.0,Брянская область,15646000
338,338,15648000,2861.0,Севский,15-648-000-000,980.0,Севский муниципальный район,муниципальный район,32.0,Брянская область,15648000
339,339,15652000,3659.5,Суземский,15-652-000-000,982.0,Суземский муниципальный район,муниципальный район,32.0,Брянская область,15652000
340,340,15654000,5051.5,Суражский,15-654-000-000,983.0,Суражский муниципальный район,муниципальный район,32.0,Брянская область,15654000
341,341,15656000,6816.0,Трубчевский,15-656-000-000,984.0,Трубчевский муниципальный район,муниципальный район,32.0,Брянская область,15656000
342,342,15658000,7437.0,Унечский,15-658-000-000,985.0,Унечский муниципальный район,муниципальный район,32.0,Брянская область,15658000
343,343,15701000,99047.75,Брянск,15-701-000-000,953.0,городской округ город Брянск,городской округ,32.0,Брянская область,15701000
344,344,15710000,2.0,Фокино,15-710-000-000,957.0,городской округ город Фокино,городской округ,32.0,Брянская область,15710000
345,345,15715000,21795.75,Клинцы,15-715-000-000,954.0,городской округ город Клинцы,городской округ,32.0,Брянская область,15715000
346,346,15720000,10507.0,Новозыбков,15-720-000-000,955.0,городской округ город Новозыбков,городской округ,32.0,Брянская область,15720000
347,346,15720000,10507.0,Новозыбковский,15-720-000-000,2650.0,городской округ Новозыбковский,городской округ,32.0,Брянская область,15720000
348,347,15725000,3903.75,Сельцо,15-725-000-000,956.0,городской округ город Сельцо,городской округ,32.0,Брянская область,15725000
349,348,17605000,18185.5,Александровский,17-605-000-000,991.0,Александровский муниципальный район,муниципальный район,33.0,Владимирская область,17605000
350,349,17610000,14970.0,Вязниковский,17-610-000-000,992.0,Вязниковский муниципальный район,муниципальный район,33.0,Владимирская область,17610000
351,350,17615000,4882.0,Гороховецкий,17-615-000-000,993.0,Гороховецкий муниципальный район,муниципальный район,33.0,Владимирская область,17615000
352,351,17620000,212.5,Гусь-Хрустальный,17-620-000-000,994.0,Гусь-Хрустальный муниципальный район,муниципальный район,33.0,Владимирская область,17620000
353,352,17625000,6056.5,Камешковский,17-625-000-000,995.0,Камешковский муниципальный район,муниципальный район,33.0,Владимирская область,17625000
354,353,17630000,6835.25,Киржачский,17-630-000-000,996.0,Киржачский муниципальный район,муниципальный район,33.0,Владимирская область,17630000
355,354,17640000,10612.5,Кольчугинский,17-640-000-000,998.0,Кольчугинский муниципальный район,муниципальный район,33.0,Владимирская область,17640000
356,355,17642000,7652.25,Меленковский,17-642-000-000,999.0,Меленковский муниципальный район,муниципальный район,33.0,Владимирская область,17642000
357,356,17644000,54.5,Муромский,17-644-000-000,1000.0,Муромский муниципальный район,муниципальный район,33.0,Владимирская область,17644000
358,357,17646000,11278.5,Петушинский,17-646-000-000,1001.0,Петушинский муниципальный район,муниципальный район,33.0,Владимирская область,17646000
359,358,17648000,4215.5,Селивановский,17-648-000-000,1002.0,Селивановский муниципальный район,муниципальный район,33.0,Владимирская область,17648000
360,359,17650000,9496.75,Собинский,17-650-000-000,1003.0,Собинский муниципальный район,муниципальный район,33.0,Владимирская область,17650000
361,360,17652000,8198.5,Судогодский,17-652-000-000,1004.0,Судогодский муниципальный район,муниципальный район,33.0,Владимирская область,17652000
362,361,17654000,9359.75,Суздальский,17-654-000-000,1005.0,Суздальский муниципальный район,муниципальный район,33.0,Владимирская область,17654000
363,362,17656000,5943.0,Юрьев-Польский,17-656-000-000,1006.0,Юрьев-Польский муниципальный район,муниципальный район,33.0,Владимирская область,17656000
364,363,17701000,75009.5,Владимир,17-701-000-000,986.0,городской округ город Владимир,городской округ,33.0,Владимирская область,17701000
365,364,17720000,20839.0,Гусь-Хрустальный,17-720-000-000,987.0,городской округ город Гусь-Хрустальный,городской округ,33.0,Владимирская область,17720000
366,365,17725000,33498.75,Ковров,17-725-000-000,988.0,городской округ город Ковров,городской округ,33.0,Владимирская область,17725000
367,366,17735000,26565.75,Муром,17-735-000-000,989.0,городской округ округ Муром,городской округ,33.0,Владимирская область,17735000
368,367,18602000,2446.25,Алексеевский,18-602-000-000,1013.0,Алексеевский муниципальный район,муниципальный район,34.0,Волгоградская область,18602000
369,368,18604000,5352.0,Быковский,18-604-000-000,1014.0,Быковский муниципальный район,муниципальный район,34.0,Волгоградская область,18604000
370,369,18605000,9890.75,Городищенский,18-605-000-000,1015.0,Городищенский муниципальный район,муниципальный район,34.0,Волгоградская область,18605000
